Tarih,Gerçek_MGM,Hatalı_Tahmin,Hata_Payı,Durum
17-11-2020,-1.0°C,1.1°C,2.1°C,❌ RİSKLİ HATA
04-03-2020,-0.2°C,1.8°C,2.0°C,❌ RİSKLİ HATA
13-12-2024,-0.7°C,1.3°C,2.0°C,❌ RİSKLİ HATA
24-03-2021,-1.0°C,1.0°C,2.0°C,❌ RİSKLİ HATA
15-02-2024,-1.0°C,0.9°C,1.9°C,❌ RİSKLİ HATA
15-12-2019,-0.5°C,1.4°C,1.9°C,❌ RİSKLİ HATA
19-11-2019,-1.1°C,0.8°C,1.9°C,❌ RİSKLİ HATA
20-04-2019,-0.2°C,1.6°C,1.8°C,❌ RİSKLİ HATA
19-12-2022,-1.1°C,0.7°C,1.8°C,❌ RİSKLİ HATA
29-02-2024,-0.3°C,1.4°C,1.7°C,❌ RİSKLİ HATA
18-11-2020,-1.1°C,0.6°C,1.7°C,❌ RİSKLİ HATA
08-03-2017,-0.5°C,1.1°C,1.6°C,❌ RİSKLİ HATA
30-12-2017,-1.0°C,0.6°C,1.6°C,❌ RİSKLİ HATA
14-03-2024,-0.1°C,1.5°C,1.6°C,❌ RİSKLİ HATA
11-11-2017,-0.1°C,1.4°C,1.5°C,❌ RİSKLİ HATA
01-03-2018,-0.2°C,1.3°C,1.5°C,❌ RİSKLİ HATA
18-01-2018,-1.0°C,0.5°C,1.5°C,❌ RİSKLİ HATA
25-02-2024,-0.7°C,0.8°C,1.5°C,❌ RİSKLİ HATA
25-11-2019,-0.1°C,1.3°C,1.4°C,❌ RİSKLİ HATA
30-11-2022,-0.2°C,1.2°C,1.4°C,❌ RİSKLİ HATA
12-11-2017,-0.6°C,0.8°C,1.4°C,❌ RİSKLİ HATA
04-12-2020,-0.2°C,1.1°C,1.3°C,❌ RİSKLİ HATA
28-02-2024,-0.1°C,1.2°C,1.3°C,❌ RİSKLİ HATA
07-03-2017,-0.2°C,1.0°C,1.2°C,❌ RİSKLİ HATA
01-02-2021,-0.5°C,0.7°C,1.2°C,❌ RİSKLİ HATA
17-02-2024,-0.4°C,0.7°C,1.1°C,❌ RİSKLİ HATA
04-04-2015,-0.1°C,0.8°C,0.9°C,❌ RİSKLİ HATA
